"Id","Name","AccountNumber","Type","Industry","Ownership","Rating","ParentId","OwnerId","CreatedDate","LastModifiedDate","Phone","Website","BillingStreet","BillingCity","BillingState","BillingPostalCode","BillingCountry","AnnualRevenue","NumberOfEmployees","Description"
"001Dp00000FUQpOIAX","Sample Account for Entitlements","","","","","","","005Dp0000036cmTIAQ","2023-05-19T16:20:42.000Z","2026-04-28T13:36:47.000Z","","","","","","","","","",""
"001V5000006RcDyIAK","Fictional Customer Account","","Prospect","","","","","005V5000000LwXFIA0","2024-06-14T18:43:15.000Z","2026-04-28T13:37:05.000Z","","","","","","","","","",""
"001V5000006Rj4BIAS","Fictional Partner","","Prospect","","","","","005V5000000LwXFIA0","2024-06-14T18:30:35.000Z","2026-04-28T13:37:30.000Z","","","","","","","","","",""
"001V5000006YToxIAG","Default Intradiem Account","","Prospect","","","","","005V5000000LwXFIA0","2024-06-17T20:10:40.000Z","2026-04-28T13:37:30.000Z","","","","","","","","","",""
"001V5000006b0dcIAA","CSS Corp","","Prospect","Technology","","","","005V5000001gAGPIA2","2010-06-18T12:24:56.000Z","2026-05-01T16:19:08.000Z","(650) 385-6001 x4086155700","www.csscorp.com","1900 McCarthy Boulevard, Suite 210","Milpitas","CA","95035","United States","2.635E8","5000",""
"001V5000006b0ddIAA","Salt River Project","","Prospect","Utilities","Private","","","005V5000001gBKBIA2","2010-06-21T21:00:31.000Z","2026-05-02T10:23:09.000Z","(602) 236-5900","www.srpnet.com","P.O. Box 52025","phoenix","AZ","85072-2025","United States","5.087E9","5132","The Salt River Project (SRP) is the umbrella name for two separate entities: the Salt River Project Agricultural Improvement and Power District, an agency of the state of Arizona that serves as an electrical utility for the Phoenix metropolitan area, and the Salt River Valley Water Users' Association, a utility cooperative that serves as the primary water provider for much of central Arizona. It is one of the primary public utility companies in Arizona."
"001V5000006b0deIAA","Realpage, Inc","","Prospect","Software","Private","","","005V5000001gAGRIA2","2010-06-21T21:11:32.000Z","2026-05-04T08:32:11.000Z","(972) 820-3000","www.realpage.com","4000 International Parkway","Carrollton","TX","75007","United States","3.77022E8","7540","RealPage provides a technology platform that enables real estate owners and managers to change how people experience and use rental space. Clients use the platform to gain transparency into asset performance, leverage data insights and monetize space to create incremental yields. Founded in 1998 and headquartered in Richardson, Texas, RealPage currently serves over 24 million units worldwide from offices in North America, Europe, and Asia."
"001V5000006b0dfIAA","St. Jude Children's Research Hospital","","Prospect","Healthcare Provider","Private","","","005V5000001gBKBIA2","2010-06-23T14:44:04.000Z","2026-05-02T10:23:14.000Z","(866) 278-5833","www.stjude.org","501 St, Jude Place","Memphis","TN","38105","United States","0.0","5500",""
"001V5000006b0dgIAA","Mercedes-Benz U.S. International, Inc.","","Prospect","Manufacturing","Private","","","005V5000001gBKBIA2","2010-06-24T20:28:32.000Z","2026-04-28T13:37:31.000Z","(800) 367-6372","www.mbusa.com","27777 Inkster Rd","Farmington Hills","MI","48334-5326","United States","5.0E11","1760","Rich Emmons"
"001V5000006b0dhIAA","NJM Insurance Group","","Prospect","Home & Auto Insurance","Private","","","005V5000001gBKBIA2","2010-07-01T13:51:46.000Z","2026-04-28T13:37:31.000Z","(609) 883-1300","www.njm.com","301 SULLIVAN WAY","TRENTON","NJ","86283406","United States","1.544E8","2530","New Jersey Manufacturers Insurance Company (NJM) will sell you insurance, if you're part of the right group. Its property/casualty insurance products are available only to employees of the State of New Jersey, or members of the New Jersey Business & Industry Association and their employees. Its individual products include automobile, homeowners, renters, umbrella, and flood insurance. Its commercial products include commercial auto and workers' compensation. Its NJM Bank subsidiary provides checking accounts and savings accounts, as well as loans and investment products, to individuals and businesses in the Garden State."
"001V5000006b0diIAA","OptumRx","","Customer","Healthcare Insurance","Private","","001V5000006bDaxIAE","005V5000001gA77IAE","2010-07-01T14:47:49.000Z","2026-05-04T05:56:33.000Z","(949) 442-8081","https://www.optumrx.com/public/landing","P.O. Box 509075","San Diego","CA","92150-9075","United States","0.0","160000","Prescription Solutions by OptumRx is more than just a mail order pharmacy. We are a focused, collaborative, and innovative leader in the pharmacy benefit management (PBM) industry. Today, we serve more than 13.5 million people through our state-of-the-art mail service pharmacies and a national network of more than 67,000 community pharmacies. We manage prescription drug benefits of commercial, Medicare, and government health plans, and those of employers and unions."
"001V5000006b0djIAA","Orvis","","Prospect","Retail","Private","","","005V5000001gBKBIA2","2010-07-22T20:25:13.000Z","2026-05-04T08:32:11.000Z","(888) 235-9763","www.orvis.com","1711 Blue Hills Dr","Roanoke","VA","24012","United States","2.8785E8","1500","Founded in 1856, The Orvis Company is a family-owned retail and mail-order business specializing in high-end fly fishing, hunting and sporting goods. The company is headquartered in Manchester, Vermont ."
"001V5000006b0dkIAA","Talbots Inc.","","Prospect","Retail","Private","","001V5000006eTi2IAE","005V5000001gBKBIA2","2010-07-26T15:58:27.000Z","2026-05-03T09:32:13.000Z","(781) 749-7600","http://www.talbotsinc.com","1 Talbots Dr","Hingham","MA","02043-1583","United States","0.0","8700","Established in Hingham, Massachusetts in 1947, Talbots is a multi-channel retailer of women's classic clothing, shoes and accessories. This New England-based brand focuses on  selection of wardrobe essentials in a broad range of sizes."
"001V5000006b0dlIAA","Acclaris, Inc.","","","Healthcare_Provider","Private","","","005V5000001gA76IAE","2010-07-29T15:52:09.000Z","2026-05-04T08:32:13.000Z","(813) 873-2020","www.acclaris.com","1511 N West Shore Blvd","Tampa","FL","33607-4543","United States","4.16E7","522",""
"001V5000006b0dmIAA","Activision","","Prospect","Retail","Public","","","005V5000001gAGPIA2","2010-07-29T17:08:22.000Z","2026-05-04T08:32:11.000Z","(310) 255-2000","http://www.activision.com","3100 Ocean Park Blvd","Santa Monica","CA","90405-3067","United States","4.408E9","6700","When it comes to making cool video games, Activision Blizzard aims to be sub-zero. The leading global video game publisher (especially in console and handheld games in the US) is best known for industry-dominating franchises such as World of Warcraft from Blizzard Entertainment, and Call of Duty through Activision. The latter division also makes games based on licensed properties from Marvel (Spider-Man and X-Men), DreamWorks Animation (Shrek), MGM and the UK's EON Productions (James Bond), Hasbro (Transformers). Other popular franchises include Diablo III and the children's hit Skylanders. Its games are produced for Sony's PlayStation, Nintendos' Wii, and Microsoft's Xbox, as well as for PC and mobile phones and tablets. The company boosted its mobile gaming presence with a $5.9 billion bid to buy  King Digital Entertainment, maker of Candy Crush and other mobile games."
"001V5000006b0dnIAA","Wounded Warrior","","","Other","","","","005V5000001gA76IAE","2010-07-29T18:52:38.000Z","2026-04-28T13:37:30.000Z","","","","","FL","","United States","","86",""
"001V5000006b0doIAA","Veyance Technologies","","","Manufacturing","Private","","","005V5000001gBKBIA2","2010-07-29T19:49:33.000Z","2026-05-04T08:32:05.000Z","(402) 467-8277","www.veyance.com","4021 N 56th","Lincoln","NE","68504","United States","714435.0","9000",""
"001V5000006b0dpIAA","Tivit","","Prospect","Outsourcer","","","","005V5000001gBKBIA2","2010-08-23T14:53:14.000Z","2026-04-30T09:05:52.000Z","55-11-37572724","www.tivit.com.br","Av. Brigadeiro Faria Lima135511 e 22 andares","Sao Paulo- SP","","","Brazil","","26489","TIVIT TerceirizaÃ§Ã£o de Tecnologia e ServiÃ§os S/A provides information technology (IT) management, application management, and business process management services to businesses in Latin America. It offers IT infrastructure management services, which include cloud computing, information security and compliance, and disaster recovery and continuity; business process outsourcing services, such as back office, relationship management, technological infrastructure management, receivables management, and business platform; and application management services, including consulting, integration, development, support, and maintenance for software projects, as well as transactional solutions, business processes, SAP services, and mobile solutions. The company serves manufacturing, health, transportation, media, retail, telecom, and utilities companies; and large banks, insurance companies, credit card companies, industries, public services concessionaires, and retail and other companies in various segments in Brazil and internationally. TIVIT TerceirizaÃ§Ã£o de Tecnologia e ServiÃ§os S/A was formerly known as Proceda Tecnologia e InformÃ¡tica S.A. and changed its name to TIVIT TerceirizaÃ§Ã£o de Tecnologia e ServiÃ§os S/A in August 2005. The company was founded in 1986 and is based in Sao Paulo, Brazil."
"001V5000006b0dqIAA","Associated Bank","","Prospect","Banking","Public","","","005V5000001gBKBIA2","2010-08-23T20:28:31.000Z","2026-05-04T08:32:07.000Z","(920) 491-7500","www.associatedbank.com","1325 Church St","Stevens Point","WI","54481-2858","United States","5.0E11","4223","A lot of Midwesterners are associated with Associated Banc-Corp, the holding company for Associated Bank. One of the largest banks based in Wisconsin, the bank operates about 200 branches in that state, as well as in Illinois and Minnesota. Catering to consumers and local businesses, it offers deposit accounts, loans, mortgage banking, credit and debit cards, and leasing. The bank's wealth management division offers investments, trust services, brokerage, insurance, and employee group benefits plans. Commercial loans, including agricultural, construction, and real estate loans, make up more than 60% of bank's loan portfolio. The bank also writes residential mortgages, consumer loans, and home equity loans."
"001V5000006b0drIAA","Extra Space Storage","","Prospect","Consumer Services","Public","","","005V5000001gBKBIA2","2010-08-31T15:16:59.000Z","2026-05-01T16:19:05.000Z","(801) 365-4600","www.extraspace.com","10897 S. Riverfront Pkwy #175","South Jordan","UT","84095","United States","5.20613E8","4781","Extra Space Storage, Inc. operates as a real estate investment trust (REIT) in the United States. It engages in property management and development activities that include acquiring, managing, developing, and selling, as well as the rental of self-storage facilities. As of December 31, 2006, Extra Space Storage owned interests in 567 properties located in 32 states and Washington, D.C., as well as managed 74 properties owned by franchisees or third parties. As a REIT, the company would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was founded in 1977 and is based in Salt Lake City,..."
"001V5000006b0dsIAA","Teleflora","","","eCommerce","Private","","","005V5000001gBKBIA2","2010-09-17T15:48:38.000Z","2026-05-04T08:32:05.000Z","(310) 231-9199","bettercxperience.com","3737 NW 34th Street","Oklahoma City","OK","73112","United States","1.73E7","3000","Malinda Miller"
"001V5000006b0dtIAA","California Water Service Group","","Prospect","Utilities","Public","","","005V5000001gBKBIA2","2010-09-20T21:00:05.000Z","2026-04-29T11:03:39.000Z","(650) 558-7800","www.calwater.com","1720 N 1st St","San Jose","CA","95112-4510","United States","4.60399E8","620","A big fish in California's water industry pond, California Water Service Group is in the swim in three other states, as well. The company's main subsidiary, regulated utility California Water Service Company (Cal Water), keeps water flowing for 473,100 customers in California. California Water Service Group's other water utility subsidiaries include Washington Water (15,800 customers), New Mexico Water (7,600 water and wastewater customers), and Hawaii Water (4,200 customers). The company's CWS Utility Services unit contracts to provide water system operation, meter reading, and billing services. All told, California Water Service Group provides services to about 2 million people in 100 communities."
"001V5000006b0duIAA","Laurentian Bank","","","Banking","","","","005V5000004XWIAIA4","2010-09-27T17:06:00.000Z","2026-05-03T09:32:17.000Z","(514) 522-9800","www.laurentianbank.ca","955 Boul. De Maisonneuve Est","Montreal","QC","H3A 3K3","Canada","0.0","4289",""
"001V5000006b0dvIAA","Tri Vantage, LLC","","","Other","","","","005V5000001gA76IAE","2010-10-05T13:42:49.000Z","2026-04-28T13:37:31.000Z","","www.trivantage.com","1831 North Park Avenue","Glen Raven","NC","27217","","","280",""
"001V5000006b0dwIAA","VacationRoost","","","Travel","","","","005V5000001gA76IAE","2010-10-05T15:14:50.000Z","2026-04-28T13:37:31.000Z","(214) 288-9804","","","Salt Lake City","UT","","United States","","200",""
"001V5000006b0dxIAA","Zephyr Partners","","","Other","","","","005V5000001gA76IAE","2010-10-05T15:19:43.000Z","2026-04-28T13:37:31.000Z","(702) 818-6165","","","San Diego","CA","","United States","","35",""
"001V5000006b0dyIAA","iTok","","","Other","","","","005V5000001gA76IAE","2010-10-08T20:33:09.000Z","2026-04-28T13:37:31.000Z","(866) 515-4865","www.itokhelp.com","3400 N. Ashton Blvd, Suite 260","Lehi","UT","84043","","","0",""
"001V5000006b0dzIAA","AchieveCard","","","Fin Services","","","","005V5000001gA76IAE","2010-10-12T14:09:25.000Z","2026-04-28T13:37:31.000Z","(800) 486-0273","http://www.achievecard.com/content/default.aspx","PO BOX 200255","Austin","TX","78720","","","200",""
"001V5000006b0e0IAA","Citizens Property Insurance Corporation","","Prospect","Home & Auto Insurance","Private","","","005V5000001gBKBIA2","2010-10-14T16:00:33.000Z","2026-05-03T09:32:17.000Z","(850) 513-3700","www.citizensfla.com","3802 Coconut Palm Dr","Tampa","FL","33619","United States","1.71143E9","1360",""
"001V5000006b0e1IAA","CenVaNet","","","Healthcare_Provider","","","","005V5000001gA76IAE","2010-10-28T13:59:24.000Z","2026-04-28T13:37:31.000Z","","","","Richmond","VA","","","","0",""
"001V5000006b0e2IAA","Young Energy","","","Utilities","","","","005V5000001gA76IAE","2010-10-28T15:41:14.000Z","2026-04-28T13:37:31.000Z","","","112 E Seminary Dr., Suite B","Fort Worth","TX","76115","","","10",""
"001V5000006b0e3IAA","American Financial Group","","Prospect","Home & Auto Insurance","Public","","","005V5000001gBKBIA2","2010-11-08T17:13:30.000Z","2026-04-28T13:37:28.000Z","(513) 579-2121","www.afginc.com","15325 SE 30th PL, Suite 100","Cincinnati","OH","98007","United States","0.0","6900","American Financial Group (AFG) insures American businessmen in pursuit of the great American Dream. Through the Great American Insurance Group of companies and its flagship Great American Insurance Company, AFG offers commercial property/casualty insurance focused on specialties such as workers' compensation, professional liability, ocean and inland marine, and multiperil crop insurance. The company also provides surety coverage for contractors and risk management services. For individuals and employers, AFG provides a wide range of annuity policies sold through its Great American Financial Resources (GAFRI) subsidiary."
"001V5000006b0e4IAA","VyStar Credit Union","","Prospect","Banking","Private","","","005V5000006tDZ3IAM","2010-11-08T19:19:37.000Z","2026-05-04T05:56:33.000Z","(904) 777-6000","www.vystarcu.org","4949 Blanding Blvd.","Jacksonville","FL","32201","United States","1.64184563E8","1200","VyStar Credit Union is a member-owned financial cooperative offering a variety of products and services including banking, lending, investment, and insurance services. The company was founded in 1952 and is headquartered in Jacksonville, Florida."
"001V5000006b0e5IAA","LivePerson","","Prospect","Outsourcer","Public","","","005V5000001gA76IAE","2010-11-09T17:58:35.000Z","2026-05-04T08:32:09.000Z","(212) 609-4200","http://www.liveperson.com/","5th Floor, 475 Tenth Avenue","New York","NY","10018","United States","1.09862E8","748","LivePerson, Inc. (Liveperson) is a provider of online engagement solutions offering a cloud-based platform, which enables businesses to proactively connect with consumers through chat, voice, and content delivery, across multiple channels and screens, including websites, social media, and mobile devices. The Company operates in two segments: Business and Consumer. The Business segment facilitates real-time online interactions, which include chat, voice, and content delivery, across multiple channels and screens for global corporations of all sizes. The Consumer segment facilitates online transactions between independent service providers (Experts) and individual consumers (Users) seeking information and knowledge for a fee through real-time chat. In August 2012, it acquired Look.io and the technology assets of Amadesa."
"001V5000006b0e6IAA","First Tech Federal Credit Union","","Prospect","Banking","","","","005V5000001gAGPIA2","2010-11-10T20:41:11.000Z","2026-05-04T08:32:11.000Z","(503) 644-4034","http://www.firsttechfed.com","1011 Sunset Blvd, Rocklin  ca  95745 United States of America","","","","","4.776E8","1450","Founded in 1952, First Tech Federal Credit Union (or First Tech) is a federally chartered not-for-profit, member-owned credit union headquartered in Beaverton, Oregon with additional locations in the United States."
"001V5000006b0e7IAA","Royal Automobile Club Victoria (RACV)","","Customer","Home & Auto Insurance","","","","005V5000002ZZTFIA4","2010-11-12T14:22:48.000Z","2026-05-04T08:32:13.000Z","+61 388327980","www.racv.com.au","550 Princes Highway","Victoria","","3174","Australia","0.0","3000",""
