mm_Lead__c,mm_Contact__c,mm_Stage__c,mm_Start_Date__c,Lead_Contact_Source__c,CreatedDate
,,,,,
,,Open,9/30/2024,,2024-10-01T06:00:37.000+0000
,,Evaluation,10/1/2024,,2024-10-01T06:06:47.000+0000
,,Customer Response,9/30/2024,,2024-10-01T06:40:07.000+0000
,,Open,10/1/2024,,2024-10-01T07:31:58.000+0000
,,Customer Response,10/1/2024,,2024-10-01T09:58:46.000+0000
,,Closed,10/1/2024,,2024-10-01T10:09:45.000+0000
,,Scheduled,10/1/2024,,2024-10-01T10:10:29.000+0000
,,Evaluation,10/1/2024,,2024-10-01T10:47:07.000+0000
,003V500000CjNfuIAF,Prospect,10/1/2024,Sales,2024-10-01T11:10:12.000+0000
,,Evaluation,10/1/2024,,2024-10-01T11:24:54.000+0000
,,Requested,10/1/2024,,2024-10-01T11:38:12.000+0000
,,Evaluation,10/1/2024,,2024-10-01T11:58:57.000+0000
,,Escalated,10/1/2024,,2024-10-01T12:01:31.000+0000
,,Open,10/1/2024,,2024-10-01T12:01:42.000+0000
,,Awaiting Customer,10/1/2024,,2024-10-01T12:02:03.000+0000
,,Open,10/1/2024,,2024-10-01T12:02:35.000+0000
,,Open,10/1/2024,,2024-10-01T12:08:03.000+0000
,,Evaluation,10/1/2024,,2024-10-01T12:08:19.000+0000
,,Evaluation,10/1/2024,,2024-10-01T12:09:46.000+0000
,,Evaluation,10/1/2024,,2024-10-01T12:12:04.000+0000
,,Customer Response,10/1/2024,,2024-10-01T12:12:55.000+0000
,,Customer Response,10/1/2024,,2024-10-01T12:17:53.000+0000
,,Open,10/1/2024,,2024-10-01T12:17:59.000+0000
,,Customer Response,10/1/2024,,2024-10-01T12:18:37.000+0000
,,Open,10/1/2024,,2024-10-01T12:28:02.000+0000
,,Scheduled,10/1/2024,,2024-10-01T12:31:24.000+0000
,,Evaluation,10/1/2024,,2024-10-01T12:36:45.000+0000
,,Open,10/1/2024,,2024-10-01T12:38:02.000+0000
,,Evaluation,10/1/2024,,2024-10-01T12:40:27.000+0000
,,Closed,10/1/2024,,2024-10-01T12:41:09.000+0000
,,Awaiting Customer,10/1/2024,,2024-10-01T12:45:10.000+0000
,,Awaiting Customer,10/1/2024,,2024-10-01T12:45:38.000+0000
,,Customer Response,10/1/2024,,2024-10-01T12:48:29.000+0000
,,Closed,10/1/2024,,2024-10-01T12:53:43.000+0000
,,Open,10/1/2024,,2024-10-01T12:55:37.000+0000
