mm_Lead__c,mm_Contact__c,mm_Stage__c,mm_Start_Date__c,Lead_Contact_Source__c,CreatedDate,Unified_ID,ID_Type
00QV500000KqTiOMAV,,SAL,2025-06-25,Partner,2025-06-25T14:45:32.000+0000,00QV500000KqTiOMAV,Lead
,003V500000Q7vkEIAR,SAL,2025-06-25,Sales,2025-06-25T20:20:36.000+0000,003V500000Q7vkEIAR,Contact
00QV500000JGENSMA5,,SAL,2025-08-27,Other - Marketing,2025-08-27T20:06:14.000+0000,00QV500000JGENSMA5,Lead
00QV5000006N7LuMAK,,SAL,2025-11-03,Website,2025-11-03T14:28:23.000+0000,00QV5000006N7LuMAK,Lead
00QV500000U7337MAB,,SAL,2026-01-13,memoryBlue-UK,2026-01-13T11:30:30.000+0000,00QV500000U7337MAB,Lead
00QV500000UKF85MAH,,SAL,2026-01-16,memoryBlue-UK,2026-01-16T15:48:13.000+0000,00QV500000UKF85MAH,Lead
,003V500000cGD6gIAG,SAL,2026-01-19,memoryBlue-UK,2026-01-19T14:19:39.000+0000,003V500000cGD6gIAG,Contact
00QV500000IdCpBMAV,,SAL,2026-01-21,Webinar,2026-01-21T16:55:44.000+0000,00QV500000IdCpBMAV,Lead
00QV500000UUgN8MAL,,SAL,2026-01-21,6sense SI,2026-01-21T16:53:46.000+0000,00QV500000UUgN8MAL,Lead
,003V500000cfpyTIAQ,SAL,2026-01-27,memoryBlue-UK,2026-01-27T16:24:14.000+0000,003V500000cfpyTIAQ,Contact
,003V50000067PgQIAU,SAL,2026-03-26,memoryBlue,2026-03-26T21:10:47.000+0000,003V50000067PgQIAU,Contact
